,precision,recall,f1-score,support
Apple___Apple_scab,0.9767441860465116,1.0,0.9882352941176471,126.0
Apple___Black_rot,1.0,1.0,1.0,125.0
Apple___Cedar_apple_rust,0.9821428571428571,1.0,0.990990990990991,55.0
Apple___healthy,1.0,0.9969604863221885,0.9984779299847792,329.0
Background_without_leaves,1.0,0.9956331877729258,0.9978118161925602,229.0
Blueberry___healthy,1.0,0.9966777408637874,0.9983361064891847,301.0
Cherry___Powdery_mildew,0.9952830188679245,1.0,0.9976359338061466,211.0
Cherry___healthy,0.9770114942528736,0.9941520467836257,0.9855072463768116,171.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.8807339449541285,0.9320388349514563,0.9056603773584906,103.0
Corn___Common_rust,1.0,0.99581589958159,0.9979035639412998,239.0
Corn___Northern_Leaf_Blight,0.9637305699481865,0.9441624365482234,0.9538461538461539,197.0
Corn___healthy,0.9914893617021276,1.0,0.9957264957264957,233.0
Grape___Black_rot,0.9957627118644068,0.9957627118644068,0.9957627118644068,236.0
Grape___Esca_(Black_Measles),0.9964028776978417,1.0,0.9981981981981982,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9953917050691244,1.0,0.9976905311778291,216.0
Grape___healthy,1.0,1.0,1.0,85.0
Orange___Haunglongbing_(Citrus_greening),0.9981834695731153,0.9972776769509982,0.9977303676804358,1102.0
Peach___Bacterial_spot,1.0,0.9978260869565218,0.998911860718172,460.0
Peach___healthy,1.0,1.0,1.0,72.0
"Pepper,_bell___Bacterial_spot",0.9852216748768473,1.0,0.9925558312655087,200.0
"Pepper,_bell___healthy",1.0,0.9797297297297297,0.9897610921501706,296.0
Potato___Early_blight,0.970873786407767,1.0,0.9852216748768473,200.0
Potato___Late_blight,0.9949238578680203,0.98,0.9874055415617129,200.0
Potato___healthy,0.96875,1.0,0.9841269841269841,31.0
Raspberry___healthy,1.0,1.0,1.0,75.0
Soybean___healthy,0.9990167158308751,0.9980353634577603,0.9985257985257985,1018.0
Squash___Powdery_mildew,1.0,0.997275204359673,0.9986357435197817,367.0
Strawberry___Leaf_scorch,1.0,0.990990990990991,0.995475113122172,222.0
Strawberry___healthy,1.0,1.0,1.0,92.0
Tomato___Bacterial_spot,0.9239130434782609,0.9976525821596244,0.9593679458239278,426.0
Tomato___Early_blight,0.9428571428571428,0.99,0.9658536585365853,200.0
Tomato___Late_blight,0.9894179894179894,0.9790575916230366,0.9842105263157894,382.0
Tomato___Leaf_Mold,0.994535519125683,0.9528795811518325,0.9732620320855615,191.0
Tomato___Septoria_leaf_spot,0.9776536312849162,0.9859154929577465,0.9817671809256662,355.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9907407407407407,0.9553571428571429,0.9727272727272728,336.0
Tomato___Target_Spot,0.9417808219178082,0.9786476868327402,0.9598603839441536,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9990300678952473,0.960820895522388,0.9795530194959582,1072.0
Tomato___Tomato_mosaic_virus,0.974025974025974,1.0,0.9868421052631579,75.0
Tomato___healthy,1.0,1.0,1.0,319.0
accuracy,0.9882035119315623,0.9882035119315623,0.9882035119315623,0.9882035119315623
macro avg,0.9847594144319584,0.9895556248779075,0.9870148072496578,11105.0
weighted avg,0.9886240637007074,0.9882035119315623,0.9882616844152078,11105.0
