,precision,recall,f1-score,support
Apple___Apple_scab,0.984,0.9761904761904762,0.9800796812749004,126.0
Apple___Black_rot,0.9689922480620154,1.0,0.984251968503937,125.0
Apple___Cedar_apple_rust,1.0,0.9818181818181818,0.9908256880733946,55.0
Apple___healthy,0.9969230769230769,0.9848024316109423,0.9908256880733946,329.0
Background_without_leaves,0.9912663755458515,0.9912663755458515,0.9912663755458515,229.0
Blueberry___healthy,0.9933993399339934,1.0,0.9966887417218543,301.0
Cherry___Powdery_mildew,1.0,0.985781990521327,0.9928400954653938,211.0
Cherry___healthy,0.9714285714285714,0.9941520467836257,0.9826589595375722,171.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.6474358974358975,0.9805825242718447,0.7799227799227799,103.0
Corn___Common_rust,1.0,0.9916317991631799,0.9957983193277311,239.0
Corn___Northern_Leaf_Blight,0.9797297297297297,0.7360406091370558,0.8405797101449275,197.0
Corn___healthy,1.0,1.0,1.0,233.0
Grape___Black_rot,0.9957805907172996,1.0,0.9978858350951374,236.0
Grape___Esca_(Black_Measles),1.0,0.9963898916967509,0.9981916817359855,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,216.0
Grape___healthy,1.0,0.9882352941176471,0.9940828402366864,85.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9990925589836661,0.9995460735360872,1102.0
Peach___Bacterial_spot,0.9935064935064936,0.9978260869565218,0.9956616052060737,460.0
Peach___healthy,0.9863013698630136,1.0,0.993103448275862,72.0
"Pepper,_bell___Bacterial_spot",1.0,0.995,0.9974937343358395,200.0
"Pepper,_bell___healthy",0.9932659932659933,0.9966216216216216,0.9949409780775716,296.0
Potato___Early_blight,1.0,1.0,1.0,200.0
Potato___Late_blight,0.9900497512437811,0.995,0.9925187032418953,200.0
Potato___healthy,1.0,0.967741935483871,0.9836065573770492,31.0
Raspberry___healthy,1.0,1.0,1.0,75.0
Soybean___healthy,0.9980295566502463,0.9950884086444007,0.9965568125922283,1018.0
Squash___Powdery_mildew,0.997275204359673,0.997275204359673,0.997275204359673,367.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,222.0
Strawberry___healthy,1.0,1.0,1.0,92.0
Tomato___Bacterial_spot,0.9487750556792873,1.0,0.9737142857142858,426.0
Tomato___Early_blight,0.9313725490196079,0.95,0.9405940594059405,200.0
Tomato___Late_blight,0.9835616438356164,0.9397905759162304,0.9611780455153949,382.0
Tomato___Leaf_Mold,0.9842931937172775,0.9842931937172775,0.9842931937172775,191.0
Tomato___Septoria_leaf_spot,0.967032967032967,0.9915492957746479,0.9791376912378303,355.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9850299401197605,0.9791666666666666,0.982089552238806,336.0
Tomato___Target_Spot,0.951048951048951,0.9679715302491103,0.9594356261022927,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9990448901623686,0.9757462686567164,0.9872581406323737,1072.0
Tomato___Tomato_mosaic_virus,0.974025974025974,1.0,0.9868421052631579,75.0
Tomato___healthy,1.0,1.0,1.0,319.0
accuracy,0.9850517784781629,0.9850517784781629,0.9850517784781629,0.9850517784781629
macro avg,0.9797838298283961,0.9830526914842892,0.9800293379869021,11105.0
weighted avg,0.9868230853414293,0.9850517784781629,0.9852378826873024,11105.0
