,precision,recall,f1-score,support
Apple___Apple_scab,1.0,1.0,1.0,126.0
Apple___Black_rot,1.0,0.984,0.9919354838709677,125.0
Apple___Cedar_apple_rust,0.9649122807017544,1.0,0.9821428571428571,55.0
Apple___healthy,0.9969325153374233,0.9878419452887538,0.9923664122137404,329.0
Background_without_leaves,1.0,1.0,1.0,229.0
Blueberry___healthy,0.9966666666666667,0.9933554817275747,0.9950083194675541,301.0
Cherry___Powdery_mildew,1.0,1.0,1.0,211.0
Cherry___healthy,0.9882352941176471,0.9824561403508771,0.9853372434017595,171.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.8962264150943396,0.9223300970873787,0.9090909090909091,103.0
Corn___Common_rust,1.0,1.0,1.0,239.0
Corn___Northern_Leaf_Blight,0.9585492227979274,0.9390862944162437,0.9487179487179487,197.0
Corn___healthy,1.0,1.0,1.0,233.0
Grape___Black_rot,0.9591836734693877,0.9957627118644068,0.9771309771309772,236.0
Grape___Esca_(Black_Measles),1.0,0.9638989169675091,0.9816176470588235,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9953703703703703,0.9976798143851509,216.0
Grape___healthy,1.0,1.0,1.0,85.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9945553539019963,0.997270245677889,1102.0
Peach___Bacterial_spot,0.9849462365591398,0.9956521739130435,0.9902702702702703,460.0
Peach___healthy,0.96,1.0,0.9795918367346939,72.0
"Pepper,_bell___Bacterial_spot",1.0,0.92,0.9583333333333334,200.0
"Pepper,_bell___healthy",0.9367088607594937,1.0,0.9673202614379085,296.0
Potato___Early_blight,0.9950248756218906,1.0,0.9975062344139651,200.0
Potato___Late_blight,0.98989898989899,0.98,0.9849246231155779,200.0
Potato___healthy,0.9090909090909091,0.967741935483871,0.9375,31.0
Raspberry___healthy,1.0,1.0,1.0,75.0
Soybean___healthy,0.9951028403525954,0.9980353634577603,0.9965669445806769,1018.0
Squash___Powdery_mildew,1.0,1.0,1.0,367.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,222.0
Strawberry___healthy,1.0,1.0,1.0,92.0
Tomato___Bacterial_spot,0.9040511727078892,0.9953051643192489,0.9474860335195531,426.0
Tomato___Early_blight,0.9576719576719577,0.905,0.9305912596401028,200.0
Tomato___Late_blight,0.961340206185567,0.9764397905759162,0.9688311688311688,382.0
Tomato___Leaf_Mold,0.9840425531914894,0.9685863874345549,0.9762532981530343,191.0
Tomato___Septoria_leaf_spot,0.9743589743589743,0.9633802816901409,0.9688385269121813,355.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9938837920489296,0.9672619047619048,0.9803921568627451,336.0
Tomato___Target_Spot,0.9084967320261438,0.9893238434163701,0.9471890971039182,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9514925373134329,0.9751434034416826,1072.0
Tomato___Tomato_mosaic_virus,0.9868421052631579,1.0,0.9933774834437086,75.0
Tomato___healthy,0.9937694704049844,1.0,0.996875,319.0
accuracy,0.9829806393516434,0.9829806393516434,0.9829806393516434,0.9829806393516434
macro avg,0.9793829678032628,0.9829968383164452,0.980904840768028,11105.0
weighted avg,0.9837191339132455,0.9829806393516434,0.9830527795763184,11105.0
