,precision,recall,f1-score,support
Apple___Apple_scab,0.8125,0.9285714285714286,0.8666666666666667,126.0
Apple___Black_rot,0.9586776859504132,0.928,0.943089430894309,125.0
Apple___Cedar_apple_rust,0.7714285714285715,0.9818181818181818,0.864,55.0
Apple___healthy,0.9088145896656535,0.9088145896656535,0.9088145896656535,329.0
Background_without_leaves,0.9768518518518519,0.9213973799126638,0.9483146067415731,229.0
Blueberry___healthy,0.9363057324840764,0.9767441860465116,0.9560975609756097,301.0
Cherry___Powdery_mildew,0.9847715736040609,0.919431279620853,0.9509803921568627,211.0
Cherry___healthy,0.9595375722543352,0.9707602339181286,0.9651162790697675,171.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.8191489361702128,0.7475728155339806,0.7817258883248731,103.0
Corn___Common_rust,0.9956331877729258,0.9539748953974896,0.9743589743589743,239.0
Corn___Northern_Leaf_Blight,0.8423423423423423,0.949238578680203,0.8926014319809069,197.0
Corn___healthy,0.9957081545064378,0.9957081545064378,0.9957081545064378,233.0
Grape___Black_rot,0.9734513274336283,0.9322033898305084,0.9523809523809523,236.0
Grape___Esca_(Black_Measles),0.9680851063829787,0.9855595667870036,0.9767441860465116,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9638009049773756,0.9861111111111112,0.9748283752860412,216.0
Grape___healthy,0.8571428571428571,0.9882352941176471,0.9180327868852459,85.0
Orange___Haunglongbing_(Citrus_greening),0.9803220035778175,0.9945553539019963,0.9873873873873874,1102.0
Peach___Bacterial_spot,0.9600997506234414,0.8369565217391305,0.8943089430894309,460.0
Peach___healthy,0.7473684210526316,0.9861111111111112,0.8502994011976048,72.0
"Pepper,_bell___Bacterial_spot",0.9405405405405406,0.87,0.9038961038961039,200.0
"Pepper,_bell___healthy",0.9102990033222591,0.9256756756756757,0.9179229480737019,296.0
Potato___Early_blight,0.9605911330049262,0.975,0.967741935483871,200.0
Potato___Late_blight,0.8847926267281107,0.96,0.920863309352518,200.0
Potato___healthy,0.47540983606557374,0.9354838709677419,0.6304347826086957,31.0
Raspberry___healthy,0.6576576576576577,0.9733333333333334,0.7849462365591398,75.0
Soybean___healthy,0.9912948857453754,0.8948919449901768,0.940629839958699,1018.0
Squash___Powdery_mildew,0.9528795811518325,0.9918256130790191,0.9719626168224299,367.0
Strawberry___Leaf_scorch,0.9521739130434783,0.9864864864864865,0.9690265486725663,222.0
Strawberry___healthy,0.91,0.9891304347826086,0.9479166666666666,92.0
Tomato___Bacterial_spot,0.9304556354916067,0.9107981220657277,0.9205219454329775,426.0
Tomato___Early_blight,0.728448275862069,0.845,0.7824074074074074,200.0
Tomato___Late_blight,0.9198813056379822,0.8115183246073299,0.8623087621696801,382.0
Tomato___Leaf_Mold,0.773109243697479,0.9633507853403142,0.8578088578088578,191.0
Tomato___Septoria_leaf_spot,0.926056338028169,0.7408450704225352,0.8231611893583725,355.0
Tomato___Spider_mites Two-spotted_spider_mite,0.911504424778761,0.9196428571428571,0.9155555555555556,336.0
Tomato___Target_Spot,0.8237410071942446,0.8149466192170819,0.8193202146690519,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9923002887391723,0.9617537313432836,0.9767882520132638,1072.0
Tomato___Tomato_mosaic_virus,0.7352941176470589,1.0,0.847457627118644,75.0
Tomato___healthy,0.9048991354466859,0.9843260188087775,0.9429429429429429,319.0
accuracy,0.9285006753714543,0.9285006753714543,0.9285006753714543,0.9285006753714543
macro avg,0.8895722953590922,0.9319428964239228,0.9052581987227168,11105.0
weighted avg,0.9343371898623023,0.9285006753714543,0.9291979801750989,11105.0
